Row,Belief,Category,Vibrational_Level,Chakra_Area,Color,Healing_Support
Row 1,I am not worthy,Self-Worth,50,Root Chakra,Deep Red,Worthiness affirmations + grounding practices
Row 1,I don't deserve love,Self-Worth,30,Heart Chakra,Soft Pink,Self-love meditation + heart opening
Row 1,I am not good enough,Self-Worth,40,Solar Plexus,Dim Yellow,Confidence building + personal power work
Row 1,I am a failure,Self-Worth,25,Root/Solar Plexus,Brown/Yellow,Success visualization + achievement acknowledgment
Row 1,I am powerless,Self-Worth,35,Solar Plexus,Pale Yellow,Empowerment practices + boundary setting
Row 2,Money is evil,Abundance,100,Root Chakra,Muddy Green,Money blessing rituals + abundance mindset
Row 2,I can't be rich and spiritual,Abundance,125,Crown/Root,Purple/Red,Spiritual wealth integration + service mindset
Row 2,There's never enough,Abundance,75,Root Chakra,Scarcity Brown,Gratitude practices + abundance affirmations
Row 2,Rich people are greedy,Abundance,150,Heart/Root,Green/Red,Compassionate wealth + generous heart work
Row 2,I don't deserve success,Abundance,50,Solar Plexus,Dull Gold,Success worthiness + achievement celebration
Row 3,Love hurts,Relationships,75,Heart Chakra,Wounded Pink,Heart healing + safe love practices
Row 3,I will be abandoned,Relationships,50,Sacral/Heart,Orange/Pink,Attachment healing + trust building
Row 3,I can't trust anyone,Relationships,100,Throat/Heart,Blocked Blue,Trust restoration + communication healing
Row 3,I am unlovable,Relationships,30,Heart Chakra,Closed Green,Self-love expansion + heart opening rituals
Row 3,Relationships always fail,Relationships,75,Heart/Root,Pink/Red,Partnership success + commitment healing
Row 4,I'm too old to change,Personal Growth,125,Crown Chakra,Stagnant Grey,Age wisdom + growth potential activation
Row 4,I can't learn new things,Personal Growth,100,Third Eye,Cloudy Indigo,Learning confidence + curiosity restoration
Row 4,Change is dangerous,Personal Growth,100,Root Chakra,Fear Red,Safety in transformation + courage building
Row 4,I'm stuck forever,Personal Growth,75,All Chakras,Muddy Rainbow,Movement activation + possibility opening
Row 4,Growth is too hard,Personal Growth,85,Solar Plexus,Heavy Yellow,Gentle progress + self-compassion practices
Row 5,My body is betraying me,Health,100,Root/All,Sickly Green,Body appreciation + healing partnership
Row 5,I will never be healthy,Health,50,All Chakras,Pale Grey,Health possibility + vitality restoration
Row 5,Illness is punishment,Health,75,Heart/Crown,Dark Purple,Healing forgiveness + body blessing
Row 5,I have bad genes,Health,125,Root Chakra,DNA Blue,Genetic blessing + epigenetic empowerment
Row 5,My body is weak,Health,85,Root/Solar,Red/Yellow,Body strength + physical appreciation
Row 6,The world is dangerous,Safety,100,Root Chakra,Fear Red,World blessing + safety affirmations
Row 6,I can't trust life,Safety,75,Root/Heart,Red/Green,Life partnership + trust in flow
Row 6,Bad things happen to good people,Safety,125,Crown/Heart,Dark Purple/Pink,Divine protection + goodness safety
Row 6,I am not safe,Safety,50,Root Chakra,Alarm Red,Safety creation + protection practices
Row 6,Life is against me,Safety,85,All Chakras,Battle Grey,Life collaboration + universe partnership